iso3,gdp_per_capita_usd,unemployment_pct,health_exp_per_capita_usd,alcohol_litres_per_capita,gini_index,urban_population_pct,life_expectancy_years
BTN,4492.78400306618,3.227,162.19680786,0.18,28.5,43.4301832473753,73.262
BWA,7778.1151090571,24.477,489.59677124,7.27,,67.9559561532102,69.293
CAF,556.131398031455,6.251,53.81136703,1.75,43.0,44.5532156681816,57.671
CAN,55697.6639660837,6.907,6377.96875,9.89,31.5,82.8757020253886,82.1080487804878
CEB,27676.9389653713,4.14260588932297,1626.96748530039,12.282107887124,,61.9065627516826,77.918095146168
CHE,114769.012314293,4.873,11783.66992188,10.07,33.8,85.7272157802756,84.4073170731707
CHI,74585.5224096294,6.169,,,,32.6430856346098,81.2
CHL,17994.5911957485,8.974,1759.70605469,7.56,43.0,89.1772830019223,81.359
CHN,13861.970224368,4.615,763.37762451,4.58,36.0,66.3429910348272,78.017
CIV,3050.10202257321,2.323,87.68105316,2.85,35.3,54.5489501450761,62.11
CMR,1972.3815800786,3.602,79.09996796,9.6,42.2,55.6692041661323,63.968
COD,806.776000708534,4.434,23.43148804,1.92,44.7,45.1135633042151,62.074
COG,2514.73393584747,19.876,75.55332184,6.05,,64.1236534817412,66.001
COL,8561.62091854449,8.29,644.30908203,4.24,54.4,78.7827914751151,77.913
COM,2055.75921566281,3.819,102.23101807,0.23,30.3,33.941547481361,67.023
CPV,5796.47207860911,11.939,290.12619019,6.01,,77.6300668010068,76.224
CRI,19970.0989059622,6.843,1163.30224609,3.4,45.5,79.7268137993004,80.996
CSS,20880.0606776787,7.55485245853424,915.847407140298,5.73362207885496,,50.1011216203825,73.3126671321816
CUB,9605.27914559614,1.746,1199.35327148,5.38,,77.2270774821152,78.264
CUW,22832.895498987,,,,,91.4727714986125,76.989
CYM,104292.900672109,,,,,100.0,80.54
CYP,41783.08984375,4.924,2899.36499023,6.36,31.8,66.6950270703775,81.821
CZE,35917.2724081665,2.825,2692.76416016,11.99,25.7,72.8754367116112,79.9780487804878
DEU,60496.4350820414,3.711,6849.26367188,11.84,33.7,82.13822205362,80.7926829268293
DJI,3905.604954681,26.015,77.57087708,0.38,,72.9758660686475,66.202
DMA,10989.0431185083,,492.4524231,5.02,,73.9861616678942,71.294
DNK,76970.1535217919,5.529,6745.06152344,9.49,29.9,88.8458435892689,82.2536585365854
DOM,11059.2081531834,5.092,488.8727417,6.5,39.0,72.517694062591,73.868
DZA,6051.00322704182,11.633,233.37947083,0.54,,75.8187358069877,76.475
EAP,10843.4363994141,3.91810951483912,570.046154107498,4.24857113540392,,62.0532518845953,75.9593161676786
EAR,4566.42669968306,5.15217207899997,201.321276167908,2.9379822161134,,47.668162672247,72.0081190674171
EAS,14077.2712026283,3.80602951002153,881.290897960564,4.53342898693223,,64.7709883214594,76.7378937238629
ECA,11117.61379372,6.84424613953164,455.307563958052,4.45635264418887,,68.3267539699245,75.1422790044247
ECS,34603.480892464,5.35931988514529,2968.53722113162,8.86738109395307,,74.0723400318719,78.5976161914947
ECU,7125.27618527738,3.308,509.49414063,2.54,45.9,63.3918189058262,77.579
EGY,3085.80712036204,6.781,141.41111755,0.13,28.5,42.9043204925248,71.806
EMU,50214.0783015991,6.28355946264135,5420.84357436742,9.68999930592493,,77.4751873230132,82.246870032101
ERI,,5.978,28.29782677,1.07,,34.5404504255216,68.893
ESP,38627.2472148623,10.376,3106.62011719,9.16,33.4,80.5149251039138,83.8878048780488
EST,34417.6320815138,8.313,2437.83764648,10.68,30.7,70.7208526598129,79.2951219512195
ETH,932.729352775179,3.323,34.79846954,3.06,31.1,24.1096952088946,67.603
EUU,47089.1638419269,5.92604538207809,5005.49753794043,10.2115091839858,,75.1738610583145,81.5608466061313
FIN,56148.580949046,9.461,5515.40478516,9.08,27.4,74.5247844319848,82.3365853658537
FJI,6642.00449450523,5.347,212.88697815,3.58,,59.5444551836369,67.463
FRA,48985.7307807924,7.542,5327.43359375,10.32,31.8,78.8449650563584,82.9804878048781
FRO,74175.2776311377,,,,,39.643321785446,83.0832463414634
FSM,4414.00737137479,,507.7762146,2.02,,22.4809290622703,67.357
GAB,8263.03321595,20.154,252.98246765,8.14,,92.0876666682068,68.511
GBR,57601.9621201954,4.746,5860.23925781,10.73,32.4,83.323608078271,81.3868536585366
GEO,9691.53472415196,12.097,554.3248291,14.41,33.9,61.1781364090406,74.657
GHA,3257.1588903576,2.979,70.25730896,4.26,,58.9246861473125,65.695
GIB,,,,,,100.0,83.63
GIN,1877.2541220972,5.163,59.33010101,0.52,,38.5165334466562,60.904
GMB,919.060423427951,6.521,25.74407768,0.61,38.8,64.9884861325581,66.057
GNB,1123.76679992349,2.673,82.13543701,3.73,33.4,46.6510315281292,64.254
GNQ,6615.25245207167,8.337,233.68379211,6.56,38.5,71.5761028458697,63.906
GRC,26948.0070432791,8.54,1962.59594727,5.81,33.4,79.2246082848537,81.8390243902439
GRD,12106.8790105068,,526.3918457,7.33,,36.6708064336827,75.367
GRL,58498.9707973609,,,,,88.5740108655152,70.2734146341463
GTM,6598.18032988711,2.604,392.01223755,1.54,45.2,56.2972033013999,72.746
GUM,41833.1517132825,5.569,,,,94.2197463433641,77.422
GUY,32413.7930757518,11.962,505.03240967,5.04,,26.4913876548981,70.319
HKG,56983.0663059906,2.799,,,,100.0,85.3926829268293
HND,3598.21450440452,4.92,249.15301514,3.08,45.7,59.2517075900659,73.044
HPC,1331.89997509038,4.14304356025997,51.3398975815569,3.84368129771822,,38.332449317985,64.9203978854631
HRV,27103.9116109268,5.002,1548.33959961,7.65,30.1,57.8144543604143,78.9292682926829
HTI,2694.18969101404,14.944,54.4146843,3.11,,55.6148855859942,65.119
HUN,25907.4743259406,4.521,1419.87475586,9.93,,70.6936831786278,76.7243902439025
IBD,8599.35834895508,4.97728646218035,465.617090196061,4.57866871367848,,58.6463509114596,74.6728746420716
IBT,6613.2094697403,4.84350017425836,351.469684570639,4.1341346328646,,53.6757479244859,72.1341361054704
IDA,1608.08422318374,4.42940600465558,56.7698238047863,2.59812399180219,,41.1497531407779,65.6366628053028
IDB,1841.20446420685,4.42715825954522,64.9669025090336,2.28268347492736,,49.2173940770698,62.619940785485
IDN,5059.62596411213,3.237,131.77729797,0.074,34.4,59.3929063969984,71.288
IDX,1484.11159862857,4.43073240687791,52.3747915542405,2.76762517755387,,36.8594065949293,67.2462931175477
IMN,90015.2074234398,,,,,52.1358064010515,81.091
IND,2702.47987141553,4.219,84.68669891,4.1,25.5,35.689155772396,72.235
IRL,131592.462547877,4.632,7394.85009766,10.77,29.0,64.5875793756168,83.009756097561
IRN,3924.38017821898,8.301,267.059021,0.51,35.9,77.3761530941751,77.854
IRQ,5409.67899716967,15.485,333.29360962,0.24,29.8,69.9396739468105,72.424
ISL,98323.4849517418,3.625,7641.57373047,7.94,,94.2179320191117,82.809756097561
ISR,60336.8477964194,3.489,3927.69873047,2.84,38.3,91.5783060866328,83.1975609756098
ITA,43308.6403060733,6.391,3397.68798828,6.97,34.3,69.680861801678,83.9512195121951
JAM,8002.92104076242,3.286,520.15704346,3.1,39.9,59.4254051751628,71.606
JOR,5347.77731384797,16.535,342.10394287,0.23,,93.2085150119551,77.981
JPN,35951.0449549304,2.451,3638.19287109,6.38,32.3,92.3001449420786,84.0363414634146
KAZ,14692.1331757237,4.771,489.71456909,4.52,29.2,62.3855569507987,74.531
KEN,2362.86091198611,5.449,84.958992,2.47,38.5,32.2121192871745,63.834
KGZ,3080.96893823359,3.526,96.65081787,3.63,27.5,34.7463537261057,72.4
KHM,2872.42926639909,0.263,114.56295776,6.67,,41.10561939401,70.817
KIR,2558.66636011102,,238.12675476,0.72,24.7,63.3850857782871,66.6
KNA,25223.0257622185,,1294.88391113,4.69,,31.8987713138283,72.281
KOR,36226.9663637512,2.683,3136.78564453,7.79,32.9,81.1740263306674,83.6292682926829
KWT,32312.3119953634,2.181,1679.12353516,0.0,,100.0,84.580487804878
LAC,10407.4817975955,5.28646121885159,769.182757433836,5.7946165730447,,81.3986631711555,75.5362004917305
LAO,2324.76353098791,1.187,27.41773605,10.82,34.7,40.3129835040701,69.225
LBN,4473.27134441128,10.985,260.8119812,1.26,35.5,90.9602314263044,77.945
LBR,915.328972645548,2.884,103.94123077,2.86,,56.0819747159338,62.324
LBY,6448.82415074121,18.758,470.4034729,0.012,,87.9112413015221,71.121
LCA,14745.8184305461,9.452,641.07495117,9.28,,29.096571131107,72.846
LCN,11095.2176548294,5.45907691012021,816.199426229249,5.82328165965338,,81.5060587040558,75.8179100020065
LDC,1361.99182021439,4.66754018615311,47.1167386189336,2.81503590339098,,36.6351976248878,66.7090446173001
LIE,220167.225473557,,11494.95898438,,,14.6298998993293,84.2
LKA,5002.07904353724,4.005,134.23654175,2.91,,20.4501355167937,77.672
LMY,6107.26169428605,4.88528914450382,319.998423368315,3.85056124350573,,53.1245267427522,72.02401270252
LSO,1088.96276223185,16.315,122.63982391,4.3,,44.6695855817109,57.798
LTE,13677.3231696707,4.49833547120506,785.276694974898,5.59657926675147,,67.6587211144091,77.2329659519788
LTU,32958.6706396386,6.731,2232.47631836,12.1,36.0,69.0816381352764,77.1951219512195
LUX,147252.179121515,6.343,8169.91259766,10.82,33.6,94.8841729598587,83.1951219512195
LVA,26311.9730706362,6.568,1645.4152832,12.87,34.0,68.6325719753517,76.4292682926829
MAC,75901.7461294198,2.347,,,,100.0,83.3317073170732
MAF,21668.3776525323,,,,,100.0,80.438
MAR,4672.46826171875,9.0,232.24751282,0.5,,63.1278612260269,75.493
MCO,288001.574856495,,8004.16845703,,,100.0,86.497
MDA,8621.71721623786,1.505,451.73007202,11.08,26.8,43.7336240404545,71.332
MDG,599.265294255357,3.041,17.44003487,0.99,36.8,32.9017070836898,63.835
MDV,14614.7208116541,4.514,1159.02819824,1.49,,42.5061567995467,81.285
MEA,6202.19002141299,7.78205479742957,310.969724717209,0.321393627941737,,55.9556552886396,72.3150125047629
MEX,13889.2339628708,2.673,760.98840332,4.79,42.6,80.0408930629723,75.264
MHL,8489.05793506422,,894.21533203,,,79.105503091452,67.075
MIC,6778.79773310904,4.88480834136692,353.652823157167,3.94538649498821,,55.413010423551,72.8726073761326
MKD,10489.9255355525,12.256,639.41693115,4.36,,62.8909857826036,76.6165853658537
MLI,1193.27601004701,2.831,33.9802475,5.32,35.7,32.2127137183989,60.675
MLT,47906.9000057635,2.896,3623.4609375,7.11,31.8,95.6805856649593,82.9560975609756
MMR,1488.87527836542,3.047,56.18909836,1.93,,30.5836915476767,67.095
MNA,2829.12883889291,8.69378066221379,140.204332765848,0.258717968788603,,52.8628681640079,71.4871863765917
MNE,14816.8380299947,13.572,1147.69787598,10.34,34.3,65.6085083521036,77.890243902439
MNG,7108.22743246244,5.233,359.60980225,7.68,31.4,71.1450719126123,72.3980487804878
MNP,23785.754590043,,,,,92.1765383642716,78.947
MOZ,626.914419215727,6.628,52.96166611,1.89,49.6,37.2077944927189,63.797
MRT,2197.51046251309,10.319,92.11444092,0.0,,61.4888190537696,68.713
MUS,12991.2935987166,5.635,616.20739746,6.86,,39.0369663368524,73.7890243902439
MWI,671.506847203876,5.072,41.26664734,3.61,,17.5949868386317,67.561
MYS,13124.5554178269,3.764,450.33853149,0.74,40.7,77.3948812296229,76.821
NAC,86308.0717272746,4.51108669589749,12698.7344525575,9.89894273149883,,80.4869628398688,79.2390403034254
NAM,4875.92558158247,19.291,397.09063721,5.05,,50.8666984399326,67.516
NCL,29213.1923192946,11.174,,,,68.1717888335577,78.921
NER,775.353622143879,0.394,26.01301575,0.13,32.9,18.3740697195469,61.433
NGA,1224.25410237743,3.064,66.82009125,3.78,33.9,63.7754180467872,54.635
NIC,3173.33724815085,5.04,216.55238342,3.67,,59.4435892957332,75.1
NLD,73683.917132794,3.874,6845.14208984,8.71,25.7,95.9385903481191,81.9658536585366
NOR,94594.1929573987,4.637,8296.35546875,7.38,26.5,83.5705787708326,83.1609756097561
NPL,1535.87781246307,10.465,83.96018982,1.06,30.0,66.999424884859,70.636
NRU,14639.5046929186,,2292.37329102,2.79,,100.0,62.279
NZL,49591.0405731713,5.076,5022.03271484,10.02,,83.9978515774731,82.009756097561
OED,51733.7140199057,4.92729125540891,5915.54267586571,8.32603173197123,,81.3158337292265,80.3985705098059
OMN,19947.3966227092,3.251,732.04089355,0.51,,79.4781383307689,80.246
OSS,17540.3099815121,8.59085524676197,1203.88225536395,4.76629040161491,,55.1790329785941,73.8137960223999
PAK,1595.90912252837,5.42,30.48608398,0.084,33.5,39.5256010979606,67.799
PAN,19789.7308555826,8.36,1557.81286621,4.66,49.7,66.1500999418126,79.775
PER,9684.41170314988,5.117,445.52667236,6.45,40.1,85.5963484845463,77.941
PHL,4170.72347271451,2.235,194.05484009,5.66,39.3,55.7732907605332,69.946
PLW,19532.3557719527,,1683.8458252,,,79.2835934246556,69.383
PNG,3019.5309140573,2.571,85.15021515,1.13,,15.7797448680276,66.256
POL,28419.5777395638,2.976,2014.12780762,11.66,28.5,60.0853330309371,78.409756097561
PRE,1470.05803145865,4.54407578031541,65.286827901308,3.71518769916529,,45.9503662459409,62.3537442260657
PRI,40620.1526923687,5.991,,,,94.3404836598892,81.902
PRK,,3.545,,3.87,,64.1897858311258,73.743
PRT,32081.8106150292,6.164,2971.03930664,8.88,33.9,61.4953199318985,82.3829268292683
PRY,7026.61906146401,4.803,526.5098877,5.62,44.2,70.3897639855864,73.982
PSE,3171.10844621579,24.42,345.67965698,,36.4,87.3818962963393,69.213
PSS,4719.69017777464,3.51831083728422,234.298336830729,2.37417096905523,,40.8754719242034,69.440356940231
PST,59490.0240628251,4.69905638249338,7413.23852188777,9.24968706348583,,81.2440377612744,81.1124065061669
PYF,22439.8838746025,11.662,,,,61.7583766473831,84.192
QAT,72524.9066385222,0.13,1804.35424805,1.05,,99.3593427696312,82.522
ROU,22537.9532108047,5.992,1050.99755859,16.8,29.8,52.1728885041698,76.4585365853659
RUS,17546.609375,2.133,1003.33166504,10.53,33.0,75.2506636608215,73.4404878048781
RWA,1123.73874633225,11.363,52.65630722,2.87,39.4,30.9133840928162,68.017
SAS,2705.28227429085,4.24320442446027,82.4869859574525,3.63193657518719,,35.7927050201319,72.5599614464264
SAU,34536.6555456551,3.038,1825.2545166,0.0,,84.6123121062185,78.982
SDN,1164.53991699219,7.53,21.0830822,0.01,,34.9349444966605,66.521
SEN,1954.71174194867,2.735,73.22670746,0.38,36.2,55.7672494455246,68.924
SGP,98813.9788172877,2.818,3921.60253906,1.81,,100.0,83.3463414634146
SLB,2086.18955928928,1.431,111.35532379,1.45,,31.3093190325418,70.694
SLE,846.296172499617,3.15,35.76205063,0.29,,45.9267781356681,61.964
SLV,5766.72574029107,3.303,500.69497681,3.15,39.8,75.5237123209951,72.302
SMR,59871.3288101478,,3923.5234375,,,97.1870254171573,85.817
SOM,661.173877723116,18.948,22.37065506,0.0,,55.1399062872976,58.967
SRB,15262.0464193413,7.123,983.69372559,7.89,32.8,62.6379872799333,75.9682926829268
SSA,1671.41989803328,5.66118665705316,79.3000496608214,4.15470074508938,,44.6584634972637,62.8024124096261
SSD,,12.374,72.75582886,,,21.6843599017401,57.738
SSF,1673.07077574497,5.66118665705316,79.3654150583237,4.15540347302978,,44.6585400495213,62.8036817702073
SST,16577.8450757077,7.75850083202263,1008.72140097749,4.71913088202581,,52.1047234338587,73.1115272530592
STP,4084.40062145233,9.132,171.05166626,4.79,,69.1721865415984,69.905
SUR,7069.87230892274,7.834,297.04589844,5.93,39.2,65.7886836406706,73.757
SVK,28543.6653439813,5.359,1813.46618652,10.67,23.8,53.1940341971169,78.3707317073171
SVN,37376.2216079138,3.175,3370.53076172,10.41,24.7,55.9906997845822,82.2853658536585
SWE,63133.2126736715,8.694,6484.76464844,9.57,29.3,89.0778677789555,84.0634146341463
SWZ,4108.25221093363,34.202,296.04562378,6.79,,26.7213709706525,64.264
SXM,42978.1317407037,,,,,100.0,76.528
SYC,19449.3836346926,,766.28778076,10.19,,45.4828390704609,76.2951219512195
SYR,1056.78264718197,13.569,33.34017944,0.092,26.4,72.0836286208518,72.56
TCA,37506.7798431288,,,,,94.3959450720822,78.181
TCD,1022.33559390754,1.057,47.43893051,2.91,37.4,27.5658786336865,55.238
TEA,10965.8265646099,3.92396383247478,570.065194520576,4.25336894737053,,62.0267995645331,75.9869566179365
TEC,15300.0702229683,4.62126731959311,791.091170293933,7.79505903904729,,69.1547566263432,74.965455732724
TGO,1383.89974929887,1.995,59.60503769,1.44,37.9,44.3949892074399,62.935
THA,8056.56359761558,0.781,326.50482178,7.99,33.3,62.7993377136296,76.564
TJK,1637.2542942547,6.931,85.14702606,0.74,36.1,26.16476270853,71.927
TKM,6540.17876401136,4.267,581.38220215,2.62,,47.1053608253747,70.201
TLA,10822.5929247606,5.50986634654456,815.300226297436,5.83345016181048,,81.5103934487331,75.7447305457286
TLS,1340.9640193437,1.592,144.21452332,0.17,,28.7864318960935,67.904
TMN,2826.65540584536,8.69378066221379,138.738077507188,0.258717968788603,,52.6132026777518,71.5035205544959
TON,6547.18646814228,2.008,357.54415894,0.36,27.1,21.1561406217448,73.07
TSA,2705.28227429085,4.24320442446027,82.4869859574525,3.63193657518719,,35.7927050201319,72.5599614464264
TSS,1673.07077574497,5.66118665705316,79.3654150583237,4.15540347302978,,44.6585400495213,62.8036817702073
TTO,18967.2704636681,3.329,1276.33862305,6.03,,53.9696087417106,73.617
TUN,4656.63818386852,15.108,317.70983887,1.71,33.7,70.7029326009864,76.711
TUR,18599.4420922378,8.52,547.8145752,1.69,43.7,89.494060002186,77.421
TUV,6344.7750188689,,1723.56542969,1.26,,65.4480709525093,67.259
TZA,1318.81921386719,1.572,36.25619888,10.95,,36.8833115936643,67.212
UGA,1206.30450825002,2.746,45.21318436,11.3,,31.9399557536617,68.487
UKR,5865.884765625,9.834,369.90487671,9.24,25.6,69.5954924645764,74.692
URY,25215.8238152781,7.516,2076.09423828,5.61,40.0,95.6537192104085,78.287
USA,90026.5163005744,4.198,13473.19335938,9.9,41.8,80.1921733027869,78.890243902439
UZB,3968.2720079072,4.622,192.11869812,2.1,32.7,51.0173495084299,72.528
VCT,12561.769166789,18.003,469.20709229,5.62,,47.9810480381821,71.382
VEN,3494.8138870244,5.307,185.99124146,1.99,,89.3219112298988,72.673
VGB,,,,,,57.3951909813643,77.431
VIR,44320.909185774,11.443,,,,95.388579075538,80.7707317073171
VNM,5065.99091899299,1.523,197.19210815,8.04,36.1,38.8299160351294,74.736
VUT,4038.73520713411,5.073,143.43753052,2.04,,22.3219888836722,71.654
WLD,14405.8484595528,4.7913330740211,1317.2564716259,4.89206588076063,,57.8251158115221,73.4818184164654
WSM,5872.78333308796,4.996,292.81085205,2.35,,17.5063874123422,71.826
XKX,7899.41841135202,,,,38.3,50.9260971650398,78.222
YEM,,17.322,47.78109741,0.044,,37.0336664607078,69.439
ZAF,6597.71450918774,32.391,536.58843994,7.13,54.1,63.8154011002522,66.312
ZMB,1317.87771619597,5.918,79.55635071,3.62,51.5,45.9171510161461,66.528
ZWE,3021.43019873632,9.293,62.92946243,2.67,,40.4951287431452,63.064
