iso3,location_name,region_name,income_group,suicide_rate,depression_dalys_rate,addiction_death_rate,selfharm_death_rate,sex_name,year
ESP,Spain,European Region,HI,6.2,763.7428267385366,2.1484021371790054,5.443124062999986,Both,2021
EST,Estonia,European Region,HI,12.5,537.1813524878413,15.098016746441312,11.127080666472212,Both,2021
ETH,Ethiopia,African Region,LI,10.699999999999998,1002.8758369833703,4.189226913240561,10.198461963720167,Both,2021
FIN,Finland,European Region,HI,12.6,544.9028644317999,10.6610516311703,12.929167271423744,Both,2021
FJI,Fiji,Western Pacific Region,UMI,8.5,524.650858479857,0.21069760392066708,9.933048281734502,Both,2021
FRA,France,European Region,HI,11.800000000000002,747.0246003237208,5.391283678281675,11.105771945612858,Both,2021
FSM,Micronesia (Federated States of),Western Pacific Region,LMI,20.8,597.1702799894816,2.307218820770036,14.303487743189685,Both,2021
GAB,Gabon,African Region,UMI,10.5,1064.7340691861364,2.4517860189516893,12.96394333736172,Both,2021
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,HI,8.8,1511.7679436163646,9.08750058845848,7.878772493787285,Both,2021
GEO,Georgia,European Region,UMI,4.6,754.275493916365,13.916392603284,6.48344633401543,Both,2021
GHA,Ghana,African Region,LMI,8.1,892.9662211499253,1.993808883585882,9.058685507283451,Both,2021
GIN,Guinea,African Region,LMI,8.2,643.0611969834015,1.5150568577189543,8.107711623254081,Both,2021
GMB,Gambia,African Region,LI,8.3,622.2139966656413,1.1368956777672543,6.596330043793319,Both,2021
GNB,Guinea-Bissau,African Region,LI,12.199999999999998,626.1088647890809,1.740355060466202,9.500658621374093,Both,2021
GNQ,Equatorial Guinea,African Region,UMI,10.5,941.5638086922605,3.981797324773325,12.349257200628832,Both,2021
GRC,Greece,European Region,HI,3.4,1046.8230661024124,2.9851832913717895,3.093813100051191,Both,2021
GRD,Grenada,Region of the Americas,UMI,1.2,675.1550644937872,5.407722764685417,2.7158521525616277,Both,2021
GTM,Guatemala,Region of the Americas,UMI,5.3,793.3651524355764,14.117024900149849,5.930946209761724,Both,2021
GUY,Guyana,Region of the Americas,HI,26.3,674.5042935933959,3.297470451787755,24.477966007025213,Both,2021
HND,Honduras,Region of the Americas,LMI,3.7000000000000006,656.8712869548535,4.406780661377768,4.127869532466596,Both,2021
HRV,Croatia,European Region,HI,10.6,367.2169618032951,7.084745065289446,10.046369111401717,Both,2021
HTI,Haiti,Region of the Americas,LMI,9.3,874.4289117711019,5.0024767671515855,5.463817480273644,Both,2021
HUN,Hungary,European Region,HI,11.4,518.6486442592449,5.268990419573921,11.609987375843296,Both,2021
IDN,Indonesia,South-East Asia Region,UMI,1.3,417.53397268681425,0.3205074893363763,1.9394706196060731,Both,2021
IND,India,South-East Asia Region,LMI,12.6,681.6187930766156,1.5466461798818198,14.470663016810347,Both,2021
IRL,Ireland,European Region,HI,7.7,720.9084518874315,6.027921013562584,7.102560952807383,Both,2021
IRN,Iran (Islamic Republic of),Eastern Mediterranean Region,UMI,4.1,799.6089918852134,3.3033461449624277,6.721604243902728,Both,2021
IRQ,Iraq,Eastern Mediterranean Region,UMI,3.7999999999999994,827.3944961944626,2.442019121860339,6.99692561581512,Both,2021
ISL,Iceland,European Region,HI,10.800000000000002,974.6981663052605,8.452398703592896,9.630849977502805,Both,2021
ISR,Israel,European Region,HI,4.4,981.8783328477035,2.192012075862743,5.3368473540576,Both,2021
ITA,Italy,European Region,HI,4.6,439.87338353900594,1.143652414529191,4.608946406287021,Both,2021
JAM,Jamaica,Region of the Americas,UMI,1.7,748.4790635698746,0.6409964916590409,1.5882290447125333,Both,2021
JOR,Jordan,Eastern Mediterranean Region,LMI,0.6999999999999998,923.3769560000616,0.1911842132913688,1.0323031575676866,Both,2021
JPN,Japan,Western Pacific Region,HI,14.699999999999998,618.8799918055503,0.5291061736793815,17.198285637934436,Both,2021
KAZ,Kazakhstan,European Region,UMI,15.199999999999998,503.1718378968956,6.151807340007366,13.856930000245173,Both,2021
KEN,Kenya,African Region,LMI,8.9,671.9369415391076,2.9463713159881926,9.127510936929147,Both,2021
KGZ,Kyrgyzstan,European Region,LMI,7.8,622.2222930101938,5.776081121189847,5.372199281239972,Both,2021
KHM,Cambodia,Western Pacific Region,LMI,5.0,479.18447736927266,0.8499011206838004,3.9842085098977633,Both,2021
KIR,Kiribati,Western Pacific Region,LMI,18.7,708.1230082042875,4.955667046199144,15.45735173012764,Both,2021
KOR,Republic of Korea,Western Pacific Region,HI,20.6,538.658854368159,1.3996614497152544,18.500790207719103,Both,2021
KWT,Kuwait,Eastern Mediterranean Region,HI,2.2,797.1468704494715,0.9149833774154724,2.0447511889603893,Both,2021
LAO,Lao People's Democratic Republic,Western Pacific Region,LMI,5.0,439.3492373800354,1.4167400855299268,4.991334193824225,Both,2021
LBN,Lebanon,Eastern Mediterranean Region,LMI,0.6999999999999998,1075.0282254968358,0.6021135173941158,1.4771496825134907,Both,2021
LBR,Liberia,African Region,LI,9.6,643.4083283645518,2.2556184659961316,8.973440601149745,Both,2021
LBY,Libya,Eastern Mediterranean Region,UMI,5.1,953.7065864347991,2.4107803326366186,5.1644316568267294,Both,2021
LCA,Saint Lucia,Region of the Americas,UMI,4.7,682.3667988601936,4.000376815190523,5.682716999084664,Both,2021
LKA,Sri Lanka,South-East Asia Region,LMI,14.0,499.4314809453094,1.6141351492909581,13.048189034407136,Both,2021
LSO,Lesotho,African Region,LMI,36.7,628.6992284267562,1.890109657224259,21.53539356911747,Both,2021
LTU,Lithuania,European Region,HI,16.8,707.3024440801977,10.037375832649772,16.898911750106517,Both,2021
LUX,Luxembourg,European Region,HI,6.2,891.9794329355301,5.6373063232056415,5.8605469447135325,Both,2021
LVA,Latvia,European Region,HI,12.0,529.5473208416557,11.669032831469025,12.456181000130812,Both,2021
MAR,Morocco,Eastern Mediterranean Region,LMI,3.0,889.1135373622643,2.700651468864065,4.212654881326188,Both,2021
MDA,Republic of Moldova,European Region,UMI,11.9,558.6414205860561,6.752495085957971,9.99327224001537,Both,2021
MDG,Madagascar,African Region,LI,10.0,731.8874490238294,5.138498190845333,11.36749752898585,Both,2021
MDV,Maldives,South-East Asia Region,UMI,2.0,461.65917652791563,0.4960235421452092,1.872740708587169,Both,2021
MEX,Mexico,Region of the Americas,UMI,6.900000000000001,593.6169307619616,2.2373080014365705,8.109321512337923,Both,2021
MKD,North Macedonia,European Region,UMI,4.6,402.5807484616833,1.6660793488051502,5.758181443932937,Both,2021
MLI,Mali,African Region,LI,8.3,628.7356143638258,1.2846763387194715,6.447839803062376,Both,2021
MLT,Malta,European Region,HI,5.599999999999999,439.58190728246745,1.8219420646150144,2.998132015350835,Both,2021
MMR,Myanmar,South-East Asia Region,LMI,2.9,544.771140410972,17.444456066701743,5.439356757713742,Both,2021
MNE,Montenegro,European Region,UMI,8.9,408.6936402422687,1.429788431517163,10.130870969645287,Both,2021
MNG,Mongolia,Western Pacific Region,UMI,19.8,533.0892780916043,25.308557323152144,14.742607328791246,Both,2021
MOZ,Mozambique,African Region,LI,19.0,649.9663358614677,1.448971381180457,6.849164908131937,Both,2021
MRT,Mauritania,African Region,LMI,4.9,591.1221459254663,1.4529630634405786,6.908819999487441,Both,2021
MUS,Mauritius,African Region,UMI,9.6,923.7094684243929,7.520035562639145,9.671574722517072,Both,2021
MWI,Malawi,African Region,LI,14.199999999999998,702.4901449005965,3.7968069163635056,13.022464143781379,Both,2021
MYS,Malaysia,Western Pacific Region,UMI,5.599999999999999,735.4236536485117,0.4567963322677891,2.6868007803520375,Both,2021
NAM,Namibia,African Region,UMI,11.1,551.801157391118,1.9184334156608311,14.523137055103321,Both,2021
NER,Niger,African Region,LI,8.9,664.3976352223672,1.3221884763565026,7.539085858995729,Both,2021
NGA,Nigeria,African Region,LMI,8.8,789.6141767279637,1.6609292784594538,3.6549070314375967,Both,2021
NIC,Nicaragua,Region of the Americas,LMI,4.2,590.7240427149976,5.101728469158865,9.688536284940975,Both,2021
NLD,Netherlands (Kingdom of the),European Region,HI,9.1,1252.9945181398941,3.382189908761968,8.967907383940323,Both,2021
NOR,Norway,European Region,HI,11.4,599.8050127851396,6.4077044423355,9.565263158040162,Both,2021
NPL,Nepal,South-East Asia Region,LMI,11.1,580.7695577437145,1.2131071437745091,18.000150327072905,Both,2021
NZL,New Zealand,Western Pacific Region,HI,11.1,677.3131154835304,3.571728772059694,13.229063555146183,Both,2021
OMN,Oman,Eastern Mediterranean Region,HI,0.9,688.9341328603423,0.35927911463101064,1.1403013677193605,Both,2021
PAK,Pakistan,Eastern Mediterranean Region,LMI,6.5,899.3541558524735,1.014589162477747,8.664493382104377,Both,2021
PAN,Panama,Region of the Americas,HI,3.2999999999999994,564.6804010154877,0.911251166564936,6.599322659909198,Both,2021
PER,Peru,Region of the Americas,UMI,1.5,621.4657354826955,1.403785758374588,4.530297641240026,Both,2021
PHL,Philippines,Western Pacific Region,LMI,4.0,502.13593581069443,0.9331336615355053,4.058214073193341,Both,2021
PNG,Papua New Guinea,Western Pacific Region,LMI,2.1,592.7586731238741,1.2919120205189114,2.91725572184836,Both,2021
POL,Poland,European Region,HI,11.5,446.5588938994333,11.129862376695678,11.472919872502983,Both,2021
PRK,Democratic People's Republic of Korea,South-East Asia Region,LI,7.599999999999999,613.555585052431,1.7312971087004552,6.69255239268695,Both,2021
PRT,Portugal,European Region,HI,7.2,801.8303432178045,2.083116744934721,8.209572932589616,Both,2021
PRY,Paraguay,Region of the Americas,UMI,6.5,647.9265774341991,5.483820748277257,11.302775881206301,Both,2021
QAT,Qatar,Eastern Mediterranean Region,HI,4.2,630.4963093093852,0.1672039591512523,2.565950228391807,Both,2021
ROU,Romania,European Region,HI,7.2,345.19298661013727,3.0417369219228445,6.708620560497974,Both,2021
RUS,Russian Federation,European Region,HI,17.9,693.092541457849,15.686064050413783,17.726679169575107,Both,2021
RWA,Rwanda,African Region,LI,13.6,654.3745273314686,5.653500306994378,10.33049020628629,Both,2021
SAU,Saudi Arabia,Eastern Mediterranean Region,HI,1.6000000000000003,788.254890878547,0.2021592356684173,3.2500745557488617,Both,2021
SDN,Sudan,Eastern Mediterranean Region,LI,3.9,1016.8406334356374,1.9284670947796847,4.7477900746369075,Both,2021
SEN,Senegal,African Region,LMI,11.6,641.7558423482316,1.2969139091125048,7.1762959036639415,Both,2021
SGP,Singapore,Western Pacific Region,HI,7.0,325.42501316273655,0.2709157756932477,9.067691132052568,Both,2021
SLB,Solomon Islands,Western Pacific Region,LMI,22.5,660.732999652434,2.103626608390566,13.274771203145358,Both,2021
SLE,Sierra Leone,African Region,LI,9.7,633.8053495578606,2.532350404615594,10.571545042260976,Both,2021
SLV,El Salvador,Region of the Americas,UMI,7.8,589.1534579420719,15.955345267745408,9.067788884389435,Both,2021
SOM,Somalia,Eastern Mediterranean Region,LI,15.300000000000002,745.0259826854355,1.6772282574427966,9.543330810378903,Both,2021
SRB,Serbia,European Region,UMI,9.4,459.05412864148747,3.682717784133787,8.921611524282058,Both,2021
SSD,South Sudan,African Region,LI,13.4,722.035927699448,5.40748129508031,12.728951296238357,Both,2021
STP,Sao Tome and Principe,African Region,LMI,1.3,601.3076866882546,1.6372459488341458,1.8060119587311974,Both,2021
SUR,Suriname,Region of the Americas,UMI,22.5,668.9158179764389,2.710965068760666,27.912768862275026,Both,2021
SVK,Slovakia,European Region,HI,7.599999999999999,434.0295024161473,3.971578058002629,8.0502581835621,Both,2021
SVN,Slovenia,European Region,HI,13.199999999999998,449.79523443653284,9.838180985705836,10.574975802159328,Both,2021
SWE,Sweden,European Region,HI,11.699999999999998,911.5419220241879,6.741132671207382,10.734752089309488,Both,2021
SWZ,Eswatini,African Region,LMI,31.8,808.1944397551989,1.621376140062375,20.615835385926555,Both,2021
SYC,Seychelles,African Region,HI,3.9,473.2479099345297,1.438824964075912,6.282066298941651,Both,2021
SYR,Syrian Arab Republic,Eastern Mediterranean Region,LI,0.6999999999999998,1640.342906236505,1.1115368254022369,1.028839173181798,Both,2021
TCD,Chad,African Region,LI,10.699999999999998,913.9261534477237,1.9212343501750395,11.169629122894186,Both,2021
TGO,Togo,African Region,LI,15.199999999999998,846.6750418530672,1.545815121212372,8.023513611890754,Both,2021
THA,Thailand,South-East Asia Region,UMI,15.4,387.6814877390207,2.2264535380257886,10.161309676676872,Both,2021
TJK,Tajikistan,European Region,LMI,3.1,607.8116561288302,1.943168816068096,4.627039696007986,Both,2021
TKM,Turkmenistan,European Region,UMI,7.5,567.5485573007916,4.309018196857559,10.01854061140503,Both,2021
TLS,Timor-Leste,South-East Asia Region,LMI,4.2,482.20819852674913,0.8901910151241794,4.899380770020014,Both,2021
TON,Tonga,Western Pacific Region,UMI,5.400000000000001,740.2934204448187,0.9242278990980558,4.38989908288122,Both,2021
TTO,Trinidad and Tobago,Region of the Americas,HI,11.6,750.3494868163216,2.173810170700512,12.818238463955039,Both,2021
TUN,Tunisia,Eastern Mediterranean Region,LMI,1.8,1107.3930459184805,2.276953961905911,2.106294367902915,Both,2021
TUR,Türkiye,European Region,UMI,2.6,959.4750908912937,0.9519594093986837,4.6991301277753665,Both,2021
TZA,United Republic of Tanzania,African Region,LMI,9.1,739.3004407314984,2.471665704592684,6.730748425186704,Both,2021
UGA,Uganda,African Region,LI,11.6,627.4079663406926,3.9955660961400032,9.980821569451333,Both,2021
UKR,Ukraine,European Region,UMI,17.0,1016.2877232213332,10.304119035729498,16.075240034804434,Both,2021
URY,Uruguay,Region of the Americas,HI,22.0,728.3220315110011,2.196211957731134,19.721220748520533,Both,2021
USA,United States of America,Region of the Americas,HI,14.199999999999998,881.1385999438447,31.533030729091788,13.113158425149658,Both,2021
UZB,Uzbekistan,European Region,LMI,9.1,550.862660953352,1.2245774132901222,10.073831820371982,Both,2021
VCT,Saint Vincent and the Grenadines,Region of the Americas,UMI,0.3,656.8918685374487,5.897522002607747,3.6319111648309197,Both,2021
VEN,Venezuela (Bolivarian Republic of),Region of the Americas,UMI,8.9,756.4574588461581,0.5404174097936993,9.211407972045414,Both,2021
VNM,Viet Nam,Western Pacific Region,LMI,7.0,428.9299731163835,2.657268854761431,8.364835727082822,Both,2021
VUT,Vanuatu,Western Pacific Region,LMI,18.2,579.3088598576479,1.0927875192178849,12.430767520764107,Both,2021
WSM,Samoa,Western Pacific Region,LMI,14.300000000000002,559.3273622944099,1.0770380501048145,11.751899860326207,Both,2021
YEM,Yemen,Eastern Mediterranean Region,LI,5.2,940.5325396747588,1.0372237151765356,3.9086952890586777,Both,2021
ZAF,South Africa,African Region,UMI,21.1,680.8145498486454,2.891430820231465,14.725342630249552,Both,2021
ZMB,Zambia,African Region,LMI,13.300000000000002,705.8449426226513,4.358406472116781,13.372649767637022,Both,2021
ZWE,Zimbabwe,African Region,LMI,25.399999999999995,681.534746756597,1.0047149107408115,6.274115908730806,Both,2021
