iso3,name,region,suicide_rate,community,degree,betweenness
BHR,Bahrain,Eastern Mediterranean Region,4.2,6,6,0.0
BIH,Bosnia and Herzegovina,European Region,5.7,3,6,0.0
EGY,Egypt,Eastern Mediterranean Region,0.6999999999999998,7,4,0.0
TON,Tonga,Western Pacific Region,5.400000000000001,7,4,0.0
TLS,Timor-Leste,South-East Asia Region,4.2,9,4,0.0
ETH,Ethiopia,African Region,10.699999999999998,7,4,0.0
PAN,Panama,Region of the Americas,3.2999999999999994,1,4,0.0
JOR,Jordan,Eastern Mediterranean Region,0.6999999999999998,0,4,0.0
IRL,Ireland,European Region,7.7,2,5,0.0
CAF,Central African Republic,African Region,18.7,4,4,0.0
